,year,Month,day,Hour,minute,SiteOutdoorAirDrybulbTemperature,dew_point,SiteOutdoorAirRelativeHumidity,datetime,DayOfYear,dayofweek,DayofWeek,floor_area,floor_height,number_of_stories,building_rotation,aspect_ratio,overall_wwr,hours_of_operation_start_time,hours_of_operation_duration,lpd,epd,people_average,heating_source,target_standard,building_type,B0_Elec,B0_Gas,B1_Elec,B1_Gas,B2_Elec,B2_Gas,B_All_Elec
6388,2000,9,24,5,0,19.4,19.4,100.0,9/24/2017 4:00,267,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,45.47849027777778,0.07932822282222221,37.186684722222225,0.07922621823888888,31.558280555555555,0.05843630987777777,114.22345555555556
6389,2000,9,24,6,0,19.4,19.4,100.0,9/24/2017 5:00,267,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,47.831402777777775,0.06608472963888888,64.43520833333334,0.07149903340555555,38.81749444444444,0.05901829282222223,151.08410555555554
6390,2000,9,24,7,0,20.0,20.0,100.0,9/24/2017 6:00,267,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,43.963165277777776,0.06716681700555555,55.608175,0.07205506619444443,36.082883333333335,0.06125001567777778,135.65422361111112
6391,2000,9,24,8,0,20.6,20.6,100.0,9/24/2017 7:00,267,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,48.307491666666664,0.06834469153333333,51.42344722222222,0.07392402236666668,42.13990972222222,0.06393675242777777,141.87084861111111
6392,2000,9,24,9,0,21.7,21.1,96.0,9/24/2017 8:00,267,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,51.245533333333334,0.06820108898333332,67.6097361111111,0.07380015255,50.258472222222224,0.06742660289444444,169.11374166666667
6393,2000,9,24,10,0,22.8,21.7,94.0,9/24/2017 9:00,267,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,51.292297222222224,0.06984744058888889,71.91869444444444,0.07672388113333334,51.511208333333336,0.06722456510555556,174.72220000000002
6394,2000,9,24,11,0,22.8,21.7,94.0,9/24/2017 10:00,267,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,51.292297222222224,0.07517072451666666,71.61604166666666,0.08132677338888888,51.511208333333336,0.06936649549444444,174.41954722222223
6395,2000,9,24,12,0,24.4,22.8,91.0,9/24/2017 11:00,267,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,52.99433333333333,0.08170018361666666,76.461,0.08515910809444445,55.106972222222225,0.07063477380555555,184.56230555555555
6396,2000,9,24,13,0,27.8,21.7,69.0,9/24/2017 12:00,267,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,64.34034722222222,0.08381423512222222,94.89481944444445,0.0892895189111111,64.83616666666667,0.07242885553333334,224.0713333333333
6397,2000,9,24,14,0,26.7,21.1,71.0,9/24/2017 13:00,267,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,59.33658333333333,0.08099783763333333,78.18768055555556,0.08383103448333333,62.455930555555554,0.07238710592222222,199.98019444444446
6398,2000,9,24,15,0,26.7,21.1,71.0,9/24/2017 14:00,267,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,59.33658333333333,0.06997972193333332,78.18768055555556,0.08136304958333333,62.455930555555554,0.06850043985555555,199.98019444444446
