,downsample,regressor__max_depth,response,regressor__max_features,regressor__min_samples_leaf,regressor__min_samples_split,regressor__n_estimators,mean_train_score,mean_test_score,mean_fit_time,mean_score_time,rank_test_score
34,0.05,6.0,ElectricityFacility,0.5,1,5,50,0.7358573534125202,0.731300200324875,4.5635160605112715,0.14894000689188638,20
35,0.05,6.0,ElectricityFacility,0.5,1,5,100,0.7351681471654689,0.7302538831564803,8.895986080169678,0.2437566121419271,22
36,0.05,6.0,ElectricityFacility,0.5,2,3,50,0.7336641865510917,0.7286509089668035,4.573699235916138,0.14268930753072104,24
37,0.05,6.0,ElectricityFacility,0.5,2,3,100,0.7350120702666848,0.7306016731574468,9.010713974634806,0.2759699821472168,21
38,0.05,6.0,ElectricityFacility,0.5,2,5,50,0.7340806758804775,0.7301810302272563,4.52203106880188,0.1513033707936605,23
39,0.05,6.0,ElectricityFacility,0.5,2,5,100,0.7395048517418611,0.7344236909732418,10.249693393707275,0.27005863189697266,17
40,0.05,6.0,ElectricityFacility,0.75,1,3,50,0.7291593097150647,0.7249685427842328,7.754925012588501,0.17351468404134116,31
41,0.05,6.0,ElectricityFacility,0.75,1,3,100,0.7312374769323059,0.7266588854023969,12.621516942977905,0.22304129600524902,27
42,0.05,6.0,ElectricityFacility,0.75,1,5,50,0.7299309730765069,0.7256171012361312,6.03773562113444,0.14263470967610678,29
43,0.05,6.0,ElectricityFacility,0.75,1,5,100,0.7312313674016305,0.7266654750295672,12.069898843765259,0.23207664489746094,26
44,0.05,6.0,ElectricityFacility,0.75,2,3,50,0.7303306265579398,0.726111678304587,6.095155636469523,0.1437679926554362,28
45,0.05,6.0,ElectricityFacility,0.75,2,3,100,0.7305772471415044,0.7267912376874608,11.783304850260416,0.18390885988871256,25
46,0.05,6.0,ElectricityFacility,0.75,2,5,50,0.7283036782339009,0.7240137868372972,6.091618696848552,0.1360748608907064,32
47,0.05,6.0,ElectricityFacility,0.75,2,5,100,0.7296849094849577,0.7254465545430006,8.805832465489706,0.12238963445027669,30
