,downsample,regressor__max_depth,response,regressor__max_features,regressor__min_samples_leaf,regressor__min_samples_split,regressor__n_estimators,mean_train_score,mean_test_score,mean_fit_time,mean_score_time,rank_test_score
15,0.05,,GasFacility,0.75,2,5,100,0.8707787152787058,0.5670607038633105,31.694065809249878,0.7147207260131836,1
16,0.05,3.0,GasFacility,0.5,1,3,50,0.24505156231142386,0.23714382509434936,2.303740898768107,0.10653058687845866,46
17,0.05,3.0,GasFacility,0.5,1,3,100,0.245687453810817,0.23760870610923066,4.617317835489909,0.1475407282511393,45
18,0.05,3.0,GasFacility,0.5,1,5,50,0.24422328917305744,0.236886270708778,2.38981294631958,0.09572601318359375,48
19,0.05,3.0,GasFacility,0.5,1,5,100,0.2464029964833823,0.23906543158777135,4.629973649978638,0.14376751581827799,41
20,0.05,3.0,GasFacility,0.5,2,3,50,0.24633716050479512,0.23883537383737077,2.419477621714274,0.10271668434143066,42
21,0.05,3.0,GasFacility,0.5,2,3,100,0.2437361317983767,0.2369765654759707,4.733886241912842,0.1526505947113037,47
22,0.05,3.0,GasFacility,0.5,2,5,50,0.2451123893475321,0.23801262601547982,2.450974384943644,0.10332385698954265,43
23,0.05,3.0,GasFacility,0.5,2,5,100,0.2456272622531714,0.2377730623428065,5.047525723775228,0.15648134549458823,44
24,0.05,3.0,GasFacility,0.75,1,3,50,0.25300697121399857,0.2459203280615437,3.5873096783955893,0.1051020622253418,38
25,0.05,3.0,GasFacility,0.75,1,3,100,0.25338230931253175,0.24722631863310454,6.958504756291707,0.14700714747111002,33
26,0.05,3.0,GasFacility,0.75,1,5,50,0.252728507451264,0.24560583043048537,3.595446745554606,0.10879802703857422,39
27,0.05,3.0,GasFacility,0.75,1,5,100,0.25298511765581644,0.24698769047266886,6.81515908241272,0.15080364545186362,34
28,0.05,3.0,GasFacility,0.75,2,3,50,0.250236619983096,0.2426034759676086,3.485090732574463,0.09962296485900879,40
29,0.05,3.0,GasFacility,0.75,2,3,100,0.2539338381658938,0.24670103749197028,6.835925738016765,0.15388703346252441,35
30,0.05,3.0,GasFacility,0.75,2,5,50,0.25392228782059706,0.24652511417333545,3.4053049087524414,0.10416173934936523,36
31,0.05,3.0,GasFacility,0.75,2,5,100,0.2529728309337503,0.2460652801158277,6.713346481323242,0.15587115287780762,37
32,0.05,6.0,GasFacility,0.5,1,3,50,0.439886837258142,0.3794065127631188,4.245297988255818,0.13842002550760904,30
33,0.05,6.0,GasFacility,0.5,1,3,100,0.44113199297520783,0.3798260089994778,8.416885058085123,0.21470165252685547,29
34,0.05,6.0,GasFacility,0.5,1,5,50,0.43892756412410394,0.3780269411558003,4.263797362645467,0.1353906790415446,32
35,0.05,6.0,GasFacility,0.5,1,5,100,0.4409314483498397,0.380312713913058,8.435442288716635,0.2153467337290446,26
36,0.05,6.0,GasFacility,0.5,2,3,50,0.43782465331066883,0.37928817496800377,4.289375861485799,0.1392823855082194,31
37,0.05,6.0,GasFacility,0.5,2,3,100,0.44000248199449254,0.38022258764005273,8.432202339172363,0.209578275680542,27
38,0.05,6.0,GasFacility,0.5,2,5,50,0.43854310090484366,0.37990411858856404,4.3273336092631025,0.13907384872436523,28
39,0.05,6.0,GasFacility,0.5,2,5,100,0.4426181069428156,0.3846305923278495,8.483007907867432,0.21403400103251138,21
40,0.05,6.0,GasFacility,0.75,1,3,50,0.45150768954192283,0.382802008116841,6.051684379577637,0.13077394167582193,24
41,0.05,6.0,GasFacility,0.75,1,3,100,0.45034046797886296,0.38341868018581776,12.020750284194946,0.2259221871693929,23
42,0.05,6.0,GasFacility,0.75,1,5,50,0.4493859492529168,0.38058689795246076,6.160541296005249,0.13262033462524414,25
43,0.05,6.0,GasFacility,0.75,1,5,100,0.45003980479422995,0.38421480728534657,12.014482657114664,0.19571431477864584,22
44,0.05,6.0,GasFacility,0.75,2,3,50,0.45141964668345347,0.38856337716168055,6.056955973307292,0.13071846961975098,17
45,0.05,6.0,GasFacility,0.75,2,3,100,0.4490719739010258,0.3853005855984737,11.736353079477945,0.1843252182006836,19
46,0.05,6.0,GasFacility,0.75,2,5,50,0.44775717307225343,0.3856293839552683,5.873647530873616,0.12917041778564453,18
47,0.05,6.0,GasFacility,0.75,2,5,100,0.4496284684533219,0.3847407153497529,8.96511165301005,0.11873801549275716,20
